"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Красота и здоровье / Уход за волосами / Окрашивание и химическая завивка / Принадлежности для окрашивания;1;2020-01-04;45109;8931;1189;2,64;954;2,11;80,24;500;184;36,8;15523;297;1,91;64952;33024110;6883983;17,25;39908093;83704;30540;14858540;36,49;38,66;0;221297;2296,73;380;59;5285;596,65;395,5;4,74;4,77;88,0
Детские товары / Коляски и автокресла / Детские коляски / Детские прогулочные коляски;2;2020-01-04;42565;9366;959;2,25;642;1,51;66,94;338;78;23,08;8290;107;1,29;2518;33011397;39817734;54,67;72829131;4916;3132;40565134;63,71;58,57;77;666355;19402,84;13995;1617;98330;17850,94;12519;4,64;4,65;80,0
Красота и здоровье / Парфюмерия / Духи сухие и масляные;1;2020-01-04;54145;11785;5220;9,64;3368;6,22;64,52;663;178;26,85;10323;355;3,44;98591;32995740;9616877;22,57;42612617;299870;192233;76625084;64,11;91,25;0;590979;3415,71;823;31;5536;502,2;368;4,62;4,61;87,5
Спорт и отдых / Водный спорт и отдых на воде / Плавание / Ласты и лопатки для плавания;2;2020-01-04;35847;5819;2733;7,62;1898;5,29;69,45;252;107;42,46;10280;169;1,64;17632;32966111;12416077;27,36;45382188;23254;8918;18458388;38,35;39,57;76;872045;9846,12;2246,5;146;33012;2994,98;2584;4,81;4,79;78,1
Продукты питания / Выпечка и сладости / Жевательная резинка;1;2020-01-04;17831;2924;901;5,05;767;4,3;85,13;237;87;36,71;4221;142;3,36;58650;32899901;6006020;15,44;38905921;93295;34233;19388746;36,69;47,72;0;206967;1898,93;804,5;68;7349;812,61;568;4,73;4,7;97,8
Дом и сад / Дача и сад / Садовая техника / Дровокольные станки;2;2020-03-10;1455;287;103;7,08;69;4,74;66,99;49;11;22,45;979;22;2,25;1543;32781344;3473461;9,58;36254805;1385;323;8492075;23,32;26,93;190;223166;15877,46;5539;920;78373;22307,49;24799;4,64;4,63;89,4
Товары для животных / Товары для кошек / Средства для ухода за кошками / Шампуни и бальзамы для кошек;1;2020-01-04;7912;890;1188;15,02;929;11,74;78,2;277;153;55,23;2522;177;7,02;66858;32776653;7635875;18,89;40412528;152650;67474;36468821;44,2;68,5;112;180434;3904,94;1407;129;20390;1512,19;769;4,86;4,74;87,5
Электроника / Комплектующие для ПК / Материнские платы;2;2020-01-04;28117;1690;1218;4,33;766;2,72;62,89;72;41;56,94;536;171;31,9;2970;32769611;79274053;70,75;112043664;4504;2643;36725336;58,68;45,49;20;952931;38039,65;24129;20;337499;17463,13;8718,5;4,72;3,45;88,6
Одежда / Детская одежда / Одежда для девочек / Пиджаки и жакеты для девочек;2;2020-01-04;82826;8640;7964;9,62;4155;5,02;52,17;541;244;45,1;4655;283;6,08;25346;32768936;21363501;39,47;54132437;58381;41327;80976267;70,79;69,1;77;135648;1058,63;689;174;10777;2045,29;1589;4,86;4,68;46,9
Аптека / Медицинские приборы / Слуховые аппараты и усилители звука;1;2020-01-04;3303;1751;290;8,78;242;7,33;83,45;69;38;55,07;155;82;52,9;12893;32763471;13682688;29,46;46446159;18275;9668;32195137;52,9;42,52;134;522300;26523,18;4266;369;77862;6265,67;3652;4,61;4,4;90,3
Электроника / Телефоны и смарт-часы / Аксессуары для смарт-часов и фитнес-браслетов;1;2020-01-04;121403;22863;5261;4,33;3590;2,96;68,24;598;192;32,11;17085;368;2,15;116681;32735786;9506033;22,5;42241819;194532;78086;25498896;40,14;50,02;0;828081;1450,31;232;35;52952;466,99;264;4,65;4,63;86,9
Дом и сад / Посуда и кухонные принадлежности / Ножи и разделочные доски / Кухонные ножницы;1;2020-01-04;2915;188;766;26,28;615;21,1;80,29;418;184;44,02;1067;365;34,21;80638;32687747;3154707;8,8;35842454;155558;68048;32208938;43,74;57,87;85;30075;2001,24;1015;85;20000;1127,99;536;4,79;4,69;82,5
Автотовары / Автоаксессуары и принадлежности / Сувениры для автомобилистов / Подарочные наборы для автомобилистов;2;2020-01-04;71691;16725;1087;1,52;543;0,76;49,95;538;75;13,94;9930;157;1,58;22620;32663200;5132602;13,58;37795802;31501;14808;26292864;47,01;41,78;56;888156;1840,65;581;171;12467;1511,85;1294;4,77;4,62;86,0
Автотовары / Запчасти для легковых автомобилей / Подвеска / Рычаги и балки подвески;2;2020-01-04;141383;5456;4917;3,48;2071;1,46;42,12;953;279;29,28;2120;527;24,86;8803;32641995;29466207;47,44;62108202;22433;14733;60010394;65,68;76,45;100;33848656;7511,42;5766,5;100;63918;5229,32;4048;4,82;4,36;88,8
Электроника / Фото и видеокамеры / Аксессуары для фото и видеотехники / Моноподы для селфи;1;2020-01-04;39979;11835;511;1,28;376;0,94;73,58;525;97;18,48;14171;195;1,38;42858;32573703;5103757;13,55;37677460;65326;20545;20430827;31,45;45,73;0;963014;6024,83;2127;224;17550;2057,17;1275;4,67;4,55;88,6
Аксессуары / Женские аксессуары / Бижутерия женская / Цепочки бижутерные женские;1;2020-01-04;39684;10206;4690;11,82;3295;8,3;70,26;686;321;46,79;12923;623;4,82;76955;32552694;8593902;20,89;41146596;188759;113162;67089382;59,95;73,59;34;192259;1537,82;324;64;10007;682,68;464;4,72;4,65;67,6
Дом и сад / Посуда и кухонные принадлежности / Товары для консервирования / Открывалки для банок;2;2020-01-04;62143;11847;1035;1,67;779;1,25;75,27;753;183;24,3;24492;424;1,73;116424;32536427;3488091;9,68;36024518;172300;83040;19208143;48,2;44,4;0;182934;1844,41;279;55;11975;540,6;259;4,64;4,59;86,1
